Tail_Number, Model, Manufacturer, Engine_Type, Aircraft_Type, Production_Year, Issue_Date, Status, Ownership
N14573,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-10-01,V,C
N14601,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1994,1994-02-11,V,C
N14604,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1994,1994-02-16,V,C
N14605,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1994,1994-03-02,V,C
N14609,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1994,1994-05-05,V,C
N14613,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1994,1994-07-26,V,C
N14628,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1995,1995-04-19,V,C
N14629,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1965,1995-05-30,V,C
N14639,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1997,1997-08-01,V,C
N14645,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1997,1997-10-01,V,C
N14652,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-01-23,V,C
N14653,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-01-27,V,C
N14654,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-02-11,V,C
N14655,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-02-12,V,C
N14664,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,2008-05-15,V,C
N14667,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-10-01,V,C
N14668,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-10-20,V,C
N14704,737-724,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1998,1998-04-27,V,C
N14731,737-724,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-09-30,V,C
N14735,737-724,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-09-23,V,C
N14902,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2002-07-03,V,C
N14904,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2002-07-03,V,C
N14905,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2002-07-03,V,C
N14907,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2002-05-31,V,C
N14916,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-04-19,V,C
N14920,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-01-30,V,C
N14923,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-10-30,V,C
N14925,EMB-145EP,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,1996,1997-11-29,V,C
N14930,EMB-145EP,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,1997,1997-12-03,V,C
N14933,EMB-145EP,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,1997,1997-10-20,V,C
N14937,EMB-145EP,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,1997,1998-02-23,V,C
N14938,EMB-145EP,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,1997,1998-02-23,V,C
N14939,EMB-145EP,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,1997,1998-02-23,V,C
N14940,EMB-145EP,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,1997,1998-02-23,V,C
N14942,EMB-145EP,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,1997,1998-07-22,V,C
N14943,EMB-145EP,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,1998,1998-07-22,V,C
N14945,EMB-145EP,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,1998,1998-07-22,V,C
N14947,EMB-145EP,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,1998,1998-07-22,V,C
N14950,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1998,1999-06-17,V,C
N14952,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1998,1999-01-04,V,C
N14953,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-12-31,V,C
N14959,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1998,1999-01-04,V,C
N14960,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-12-31,V,C
N14972,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-09-17,V,C
N14974,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-09-17,V,C
N14977,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1999,2000-10-20,V,C
N14991,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-10-20,V,C
N14993,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-10-20,V,C
N14998,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-10-30,V,C
N149AT,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-07-16,V,C
N1501P,767-3P6,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1990,1997-04-22,V,C
N152DL,767-3P6,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1990,1997-02-26,V,C
N153DL,767-3P6,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1990,1997-02-14,V,C
N154AW,737-3G7,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1987,1999-08-25,V,C
N154DL,767-3P6,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1991,1997-05-01,V,C
N154SF,CL-600-2B19,CANADAIR,Turbo-Jet,Fixed Wing Multi-Engine,1996,2003-01-13,V,C
N15509,EMB-135ER,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,2000,2000-10-31,V,C
N15527,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-04-05,V,C
N15555,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,,2002-06-07,V,C
N15572,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-10-02,V,C
N15574,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,,2002-10-02,V,C
N155AW,737-3G7,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1987,1999-08-25,V,C
N155DL,767-3P6,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1991,1997-06-13,V,C
N15659,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,2008-02-04,V,C
N156AW,737-3G7,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1987,1999-08-25,V,C
N156DL,767-3P6,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1991,1997-07-22,V,C
N15710,737-724,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1998,1998-09-01,V,C
N15712,737-724,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1998,1998-09-25,V,C
N157AW,737-3G7,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1987,1999-08-25,V,C
N158AW,737-3G7,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1987,1999-08-25,V,C
N15910,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-06-20,V,C
N15912,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-05-24,V,C
N15926,EMB-145EP,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,1996,1997-11-29,V,C
N15932,EMB-145EP,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,1997,1997-12-03,V,C
N15941,EMB-145EP,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,1997,1998-02-25,V,C
N15948,EMB-145EP,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,1998,1998-07-22,V,C
N15973,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-09-17,V,C
N15980,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1999,2000-10-20,V,C
N15983,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-10-20,V,C
N15985,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-10-30,V,C
N15986,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-10-20,V,C
N1602,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-01-25,V,C
N1603,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-02-08,V,C
N1604R,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-04-29,V,C
N1605,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-08-16,V,C
N16065,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-06-14,V,C
N1607B,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-04-24,V,C
N1608,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-04-24,V,C
N1609,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-04-26,V,C
N160AW,737-3G7,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1988,2006-02-28,V,C
N1610D,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-04-27,V,C
N16112,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2003-06-25,V,C
N1611B,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-05-16,V,C
N1612T,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-06-01,V,C
N1613B,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-08-13,V,C
N16147,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-09-10,V,C
N16149,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-10-10,V,C
N16151,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-11-12,V,C
N16170,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-09-23,V,C
N16178,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-02-16,V,C
N16183,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-05-18,V,C
N161UW,A321-211,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2001,2001-01-18,V,C
N16217,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-08-03,V,C
N16234,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-08-06,V,C
N162UW,A321-211,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2001,2001-02-15,V,C
N16301,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1985,2006-04-07,V,C
N16310,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1985,1985-09-26,V,C
N16339,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1987,2001-03-28,V,C
N163US,A321-211,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2001,2001-03-01,V,C
N164AW,737-33A,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1986,2006-07-06,V,C
N16501,EMB-135ER,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,1999,2000-11-01,V,C
N16502,EMB-135ER,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,1999,2000-11-01,V,C
N16510,EMB-135ER,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,2000,2000-11-01,V,C
N16511,EMB-135ER,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,2000,2000-10-31,V,C
N16520,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-01-18,V,C
N16525,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-03-21,V,C
N16541,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2002-05-30,V,C
N16546,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-05-30,V,C
N16559,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-06-12,V,C
N16561,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-06-27,V,C
N16571,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-10-02,V,C
N165US,A321-211,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2001,2001-02-21,V,C
N16607,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1994,1994-04-07,V,C
N16618,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1994,1994-09-27,V,C
N16632,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1995,1995-07-12,V,C
N16642,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1997,1997-09-18,V,C
N16646,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1997,1997-12-02,V,C
N16647,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1997,1997-11-25,V,C
N16648,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1997,1997-12-05,V,C
N16649,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1997,1997-12-22,V,C
N16650,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1997,1997-12-24,V,C
N166AT,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-09-15,V,C
N166AW,737-33A,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1986,2006-07-06,V,C
N16701,737-724,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1998,1998-03-30,V,C
N16703,737-724,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1998,1998-04-08,V,C
N16709,737-724,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1998,1998-09-01,V,C
N16713,737-724,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1998,1998-09-25,V,C
N16732,737-724,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-08-25,V,C
N167AT,737-7BD,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-10-12,V,C
N167US,A321-211,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2001,2001-03-26,V,C
N168AT,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-09-29,V,C
N168AW,737-33A,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1986,2006-07-06,V,C
N16911,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-06-12,V,C
N16918,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-03-07,V,C
N16919,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-02-22,V,C
N16927,EMB-145EP,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,1996,1997-11-29,V,C
N16944,EMB-145EP,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,1998,1998-07-22,V,C
N16951,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1998,1999-01-04,V,C
N16954,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1998,1999-01-04,V,C
N16961,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-06-17,V,C
N16963,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-06-17,V,C
N16976,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1999,2000-10-20,V,C
N16981,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1999,2000-10-20,V,C
N16987,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-10-20,V,C
N16999,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-10-30,V,C
N169AT,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-11-16,V,C
N169DZ,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-06-19,V,C
N169UW,A321-211,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2001,2001-03-22,V,C
N170US,A321-211,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2001,2001-05-21,V,C
N17104,757-224,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1994,1994-08-01,V,C
N17105,757-224,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1994,1994-08-19,V,C
N17108,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2003-06-25,V,C
N17115,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2003-06-26,V,C
N17122,757-224,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1997,1997-08-14,V,C
N17126,757-224,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1998,1998-02-20,V,C
N17128,757-224,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1998,1998-03-20,V,C
N17133,757-224,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1998,1998-12-23,V,C
N17138,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-05-28,V,C
N17139,757-224,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,2000,2000-02-07,V,C
N17146,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-08-25,V,C
N17156,CL-600-2B19,CANADAIR,Turbo-Jet,Fixed Wing Multi-Engine,1996,1997-08-20,V,C
N17159,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-03-17,V,C
N17169,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-09-01,V,C
N17175,CL-600-2B19,CANADAIR,Turbo-Jet,Fixed Wing Multi-Engine,1997,1998-01-07,V,C
N17185,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-06-15,V,C
N17196,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-12-14,V,C
N171DN,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1990,1990-06-12,V,C
N171DZ,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-09-14,V,C
N171US,A321-211,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2001,2001-04-10,V,C
N17229,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-06-07,V,C
N17231,CL-600-2B19,CANADAIR,Turbo-Jet,Fixed Wing Multi-Engine,1998,1999-07-01,V,C
N17233,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-07-27,V,C
N17244,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-11-03,V,C
N17245,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-11-08,V,C
N17275,CL-600-2B19,CANADAIR,Turbo-Jet,Fixed Wing Multi-Engine,1998,1999-12-28,V,C
N172DN,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1990,1990-06-25,V,C
N172DZ,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-09-25,V,C
N172US,A321-211,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2001,2001-04-24,V,C
N17321,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1986,2004-02-17,V,C
N17326,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1986,2008-06-13,V,C
N17328,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1986,1986-08-08,V,C
N17329,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1986,2004-07-16,V,C
N17337,CL-600-2B19,CANADAIR,Turbo-Jet,Fixed Wing Multi-Engine,1999,2000-07-03,V,C
N17344,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1987,2007-04-17,V,C
N17345,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1987,2007-04-17,V,C
N17356,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1988,2004-09-02,V,C
N17358,CL-600-2B19,CANADAIR,Turbo-Jet,Fixed Wing Multi-Engine,,2000-12-29,V,C
N173AT,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2004,2005-01-03,V,C
N173DN,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1990,1990-07-03,V,C
N173DZ,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-11-03,V,C
N173UA,747-422,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1989,2004-08-19,V,C
N173US,A321-211,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2001,2001-04-30,V,C
N174AT,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2004,2005-01-25,V,C
N174DN,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1990,1990-07-25,V,C
N174DZ,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-11-06,V,C
N174UA,747-422,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1990,1990-01-23,V,C
N174US,A321-211,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,,2001-05-17,V,C
N17507,EMB-135ER,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,2000,2000-10-31,V,C
N17513,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-10-31,V,C
N17521,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-01-25,V,C
N17524,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-03-14,V,C
N17560,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-06-20,V,C
N175AT,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2004,2005-02-03,V,C
N175AW,737-33A,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1987,2006-07-05,V,C
N175DN,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1990,1990-07-27,V,C
N175DZ,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-03-05,V,C
N175UA,747-422,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1990,2006-02-24,V,C
N17619,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1994,1994-10-28,V,C
N17620,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1994,1995-02-21,V,C
N17627,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1995,1995-04-14,V,C
N17640,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1997,1997-08-27,V,C
N17644,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1997,1997-09-30,V,C
N17663,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-08-11,V,C
N176AT,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-02-18,V,C
N176DN,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1990,1991-01-08,V,C
N176DZ,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-04-22,V,C
N176UW,A321-211,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2001,2001-05-15,V,C
N17719,737-724,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-02-04,V,C
N17730,737-724,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-09-23,V,C
N177DN,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1991,1991-01-23,V,C
N177DZ,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-05-07,V,C
N177UA,747-422,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1990,2006-03-01,V,C
N177US,A321-211,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,,2001-08-22,V,C
N178DN,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1991,2007-05-22,V,C
N178DZ,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-05-24,V,C
N178JB,ERJ 190-100 IGW,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-12-19,V,C
N178UA,747-422,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1990,2005-12-27,V,C
N178US,A321-211,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2001,2001-06-14,V,C
N17928,EMB-145EP,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,1996,1997-11-29,V,C
N17984,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-10-20,V,C
N1799U,DC-9-31,DOUGLAS,Turbo-Jet,Fixed Wing Multi-Engine,1969,1986-12-22,V,C
N179DN,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1991,2007-10-10,V,C
N179JB,ERJ 190-100 IGW,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-09-30,V,C
N179UA,747-422,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1991,2006-02-23,V,C
N179UW,A321-211,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2001,2005-06-23,V,C
N180DN,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1992,2007-02-26,V,C
N180UA,747-422,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1991,2006-02-27,V,C
N180US,A321-211,AIRBUS INDUSTRIE,Turbo-Jet,Fixed Wing Multi-Engine,2001,2005-06-22,V,C
N18101,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2003-06-26,V,C
N18102,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2003-06-24,V,C
N18112,757-224,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1995,1995-02-02,V,C
N18114,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2003-06-26,V,C
N18119,757-224,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1997,1997-05-14,V,C
N18120,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-01-15,V,C
